0:0:0:0:0:0:0:1 - - [30/May/2023:11:19:18 +0900] "GET /day45_css_js/index.html HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [30/May/2023:11:19:18 +0900] "GET /day45_css_js/css/main.css HTTP/1.1" 200 950
0:0:0:0:0:0:0:1 - - [30/May/2023:11:19:18 +0900] "GET /day45_css_js/images/hero1.png HTTP/1.1" 200 29071
0:0:0:0:0:0:0:1 - - [30/May/2023:11:19:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/May/2023:11:19:47 +0900] "GET /day45_css_js/index.html HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [30/May/2023:11:19:47 +0900] "GET /day45_css_js/css/main.css HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [30/May/2023:11:19:47 +0900] "GET /day45_css_js/images/hero1.png HTTP/1.1" 200 29071
0:0:0:0:0:0:0:1 - - [30/May/2023:11:19:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/May/2023:11:20:26 +0900] "GET /day45_css_js/index.html HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [30/May/2023:11:20:26 +0900] "GET /day45_css_js/css/main.css HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [30/May/2023:11:20:26 +0900] "GET /day45_css_js/images/hero1.png HTTP/1.1" 200 29071
0:0:0:0:0:0:0:1 - - [30/May/2023:11:20:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/May/2023:11:20:28 +0900] "GET /day45_css_js/index.html HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [30/May/2023:11:20:28 +0900] "GET /day45_css_js/css/main.css HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [30/May/2023:11:20:28 +0900] "GET /day45_css_js/images/hero1.png HTTP/1.1" 200 29071
0:0:0:0:0:0:0:1 - - [30/May/2023:11:20:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/May/2023:11:20:44 +0900] "GET /day45_css_js/index.html HTTP/1.1" 200 3063
